index,abbr,name,level,type,area
9,ICIP,International Conference on Image Processing,C,会议,计算机图形学与多媒体
10,MMM,International Conference on Multimedia Modeling,C,会议,计算机图形学与多媒体
11,PCM,Pacific-Rim Conference on Multimedia,C,会议,计算机图形学与多媒体
12,SMI,Shape Modeling International,C,会议,计算机图形学与多媒体
1,AAAI,AAAI Conference on Artificial Intelligence,A,会议,人工智能
2,NeurIPS,Annual Conference on Neural Information Processing Systems,A,会议,人工智能
3,ACL,Annual Meeting of the Association for Computational Linguistics,A,会议,人工智能
4,CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A,会议,人工智能
5,ICCV,International Conference on Computer Vision,A,会议,人工智能
6,ICML,International Conference on Machine Learning,A,会议,人工智能
7,IJCAI,International Joint Conference on Artificial Intelligence,A,会议,人工智能
1,COLT,Annual Conference on Computational Learning Theory,B,会议,人工智能
2,EMNLP,Conference on Empirical Methods in Natural Language Processing,B,会议,人工智能
3,ECAI,European Conference on Artificial Intelligence,B,会议,人工智能
4,ECCV,European Conference on Computer Vision,B,会议,人工智能
5,ICRA,IEEE International Conference on Robotics and Automation,B,会议,人工智能
6,ICAPS,International Conference on Automated Planning and Scheduling,B,会议,人工智能
7,ICCBR,International Conference on Case-Based Reasoning and Development,B,会议,人工智能
8,COLING,International Conference on Computational Linguistics,B,会议,人工智能
9,KR,International Conference on Principles of Knowledge Representation and Reasoning,B,会议,人工智能
10,UAI,International Conference on Uncertainty in Artificial Intelligence,B,会议,人工智能
11,AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,B,会议,人工智能
12,PPSN,Parallel Problem Solving from Nature,B,会议,人工智能
1,AISTATS,Artificial Intelligence and Statistics,C,会议,人工智能
2,ACCV,Asian Conference on Computer Vision,C,会议,人工智能
3,ACML,Asian Conference on Machine Learning,C,会议,人工智能
4,BMVC,British Machine Vision Conference,C,会议,人工智能
5,NLPCC,conf.International Conference on Natural Language Processing and Chinese Computing,C,会议,人工智能
6,CoNLL,Conference on Computational Natural Language Learning,C,会议,人工智能
7,GECCO,Genetic and Evolutionary Computation Conference,C,会议,人工智能
8,ICTAI,IEEE International Conference on Tools with Artificial Intelligence,C,会议,人工智能
9,IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,C,会议,人工智能
10,ALT,International Conference on Algorithmic Learning Theory,C,会议,人工智能
11,ICANN,International Conference on Artificial Neural Networks,C,会议,人工智能
12,FG,International Conference on Automatic Face and Gesture Recognition,C,会议,人工智能
13,ICDAR,International Conference on Document Analysis and Recognition,C,会议,人工智能
14,ILP,International Conference on Inductive Logic Programming,C,会议,人工智能
15,KSEM,"International conference on Knowledge Science, Engineering and Management",C,会议,人工智能
16,ICONIP,International Conference on Neural Information Processing,C,会议,人工智能
17,ICPR,International Conference on Pattern Recognition,C,会议,人工智能
18,ICB,International Joint Conference on Biometrics,C,会议,人工智能
19,IJCNN,International Joint Conference on Neural Networks,C,会议,人工智能
20,PRICAI,Pacific Rim International Conference on Artificial Intelligence,C,会议,人工智能
21,NAACL,The Annual Conference of the North American Chapter of the Association for Computational Linguistics,C,会议,人工智能
1,CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,A,会议,人机交互与普适计算
2,CHI,ACM Conference on Human Factors in Computing Systems,A,会议,人机交互与普适计算
3,UbiComp,ACM International Conference on Ubiquitous Computing,A,会议,人机交互与普适计算
1,GROUP,ACM Conference on Supporting Group Work,B,会议,人机交互与普适计算
2,IUI,ACM International Conference on Intelligent User Interfaces,B,会议,人机交互与普适计算
3,ITS,ACM International Conference on Interactive Tabletops and Surfaces,B,会议,人机交互与普适计算
4,UIST,ACM Symposium on User Interface Software and Technology,B,会议,人机交互与普适计算
5,ECSCW,European Conference on Computer Supported Cooperative Work,B,会议,人机交互与普适计算
6,PERCOM,IEEE International Conference on Pervasive Computing and Communications,B,会议,人机交互与普适计算
7,MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,B,会议,人机交互与普适计算
1,DIS,ACM Conference on Designing Interactive Systems,C,会议,人机交互与普适计算
2,ICMI,ACM International Conference on Multimodal Interaction,C,会议,人机交互与普适计算
3,ASSETS,ACM SIGACCESS Conference on Computers and Accessibility,C,会议,人机交互与普适计算
4,GI,Graphics Interface conference,C,会议,人机交互与普适计算
5,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,C,会议,人机交互与普适计算
6,,IEEE World Haptics Conference,C,会议,人机交互与普适计算
7,INTERACT,IFIP TC13 Conference on Human-Computer Interaction,C,会议,人机交互与普适计算
8,IDC,Interaction Design and Children,C,会议,人机交互与普适计算
9,CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",C,会议,人机交互与普适计算
10,CSCWD,International Conference on Computer Supported Cooperative Work in Design,C,会议,人机交互与普适计算
11,CoopIS,International Conference on Cooperative Information Systems,C,会议,人机交互与普适计算
12,MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",C,会议,人机交互与普适计算
13,AVI,International Working Conference on Advanced Visual Interfaces,C,会议,人机交互与普适计算
1,WWW,International World Wide Web Conferences,A,会议,交叉/综合/新兴
2,RTSS,Real-Time Systems Symposium,A,会议,交叉/综合/新兴
1,CogSci,Cognitive Science Society Annual Conference,B,会议,交叉/综合/新兴
2,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,B,会议,交叉/综合/新兴
3,EMSOFT,International Conference on Embedded Software,B,会议,交叉/综合/新兴
4,ISMB,International conference on Intelligent Systems for Molecular Biology,B,会议,交叉/综合/新兴
5,RECOMB,International Conference on Research in Computational Molecular Biology,B,会议,交叉/综合/新兴
1,AMIA,American Medical Informatics Association Annual Symposium,C,会议,交叉/综合/新兴
2,APBC,Asia Pacific Bioinformatics Conference,C,会议,交叉/综合/新兴
3,,IEEE International Conference on Big Data,C,会议,交叉/综合/新兴
4,,IEEE International Conference on Cloud Computing,C,会议,交叉/综合/新兴
5,SMC,"IEEE International Conference on Systems, Man, and Cybernetics",C,会议,交叉/综合/新兴
6,COSIT,International Conference on Spatial Information Theory,C,会议,交叉/综合/新兴
7,ISBRA,International Symposium on Bioinformatics Research and Applications,C,会议,交叉/综合/新兴
1,TOCS,ACM Transactions on Computer Systems,A,期刊,计算机体系结构/并行与分布计算/存储系统
2,TOS,ACM Transactions on Storage,A,期刊,计算机体系结构/并行与分布计算/存储系统
3,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and System,A,期刊,计算机体系结构/并行与分布计算/存储系统
4,TC,IEEE Transactions on Computers,A,期刊,计算机体系结构/并行与分布计算/存储系统
5,TPDS,IEEE Transactions on Parallel and Distributed Systems,A,期刊,计算机体系结构/并行与分布计算/存储系统
1,TACO,ACM Transactions on Architecture and Code Optimization,B,期刊,计算机体系结构/并行与分布计算/存储系统
2,TAAS,ACM Transactions on Autonomous and Adaptive Systems,B,期刊,计算机体系结构/并行与分布计算/存储系统
3,TODAES,ACM Transactions on Design Automation of Electronic Systems,B,期刊,计算机体系结构/并行与分布计算/存储系统
4,TECS,ACM Transactions on Embedded Computing Systems,B,期刊,计算机体系结构/并行与分布计算/存储系统
5,TRETS,ACM Transactions on Reconfigurable Technology and Systems,B,期刊,计算机体系结构/并行与分布计算/存储系统
6,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,B,期刊,计算机体系结构/并行与分布计算/存储系统
7,JPDC,Journal of Parallel and Distributed Computing,B,期刊,计算机体系结构/并行与分布计算/存储系统
8,JSA,Journal of Systems Architecture: Embedded Software Design,B,期刊,计算机体系结构/并行与分布计算/存储系统
9,PARCO,Parallel Computing,B,期刊,计算机体系结构/并行与分布计算/存储系统
10,,Performance Evaluation: An International Journal,B,期刊,计算机体系结构/并行与分布计算/存储系统
1,JETC,ACM Journal on Emerging Technologies in Computing Systems,C,期刊,计算机体系结构/并行与分布计算/存储系统
2,,Concurrency and Computation: Practice and Experience,C,期刊,计算机体系结构/并行与分布计算/存储系统
3,DC,Distributed Computing,C,期刊,计算机体系结构/并行与分布计算/存储系统
4,FGCS,Future Generation Computer Systems,C,期刊,计算机体系结构/并行与分布计算/存储系统
5,TCC,IEEE Transactions on Cloud Computing,C,期刊,计算机体系结构/并行与分布计算/存储系统
6,Integration,"Integration, the VLSI Journal",C,期刊,计算机体系结构/并行与分布计算/存储系统
7,JETTA,Journal of Electronic Testing-Theory and Applications,C,期刊,计算机体系结构/并行与分布计算/存储系统
8,JGC,Journal of Grid computing,C,期刊,计算机体系结构/并行与分布计算/存储系统
9,MICPRO,Microprocessors and Microsystems: Embedded Hardware Design,C,期刊,计算机体系结构/并行与分布计算/存储系统
10,RTS,Real-Time Systems,C,期刊,计算机体系结构/并行与分布计算/存储系统
11,TJSC,The Journal of Supercomputing,C,期刊,计算机体系结构/并行与分布计算/存储系统
1,JSAC,IEEE Journal of Selected Areas in Communications,A,期刊,计算机网络
2,TMC,IEEE Transactions on Mobile Computing,A,期刊,计算机网络
3,TON,IEEE/ACM Transactions on Networking,A,期刊,计算机网络
1,TOIT,ACM Transactions on Internet Technology,B,期刊,计算机网络
2,TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Applications",B,期刊,计算机网络
3,TOSN,ACM Transactions on Sensor Networks,B,期刊,计算机网络
4,CN,Computer Networks,B,期刊,计算机网络
5,TCOM,IEEE Transactions on Communications,B,期刊,计算机网络
6,TWC,IEEE Transactions on Wireless Communications,B,期刊,计算机网络
1,,Ad Hoc Networks,C,期刊,计算机网络
2,CC,Computer Communications,C,期刊,计算机网络
3,TNSM,IEEE Transactions on Network and Service Management,C,期刊,计算机网络
4,,IET Communications,C,期刊,计算机网络
5,JNCA,Journal of Network and Computer Applications,C,期刊,计算机网络
6,MONET,Mobile Networks & Applications,C,期刊,计算机网络
7,,Networks,C,期刊,计算机网络
8,PPNA,Peer-to-Peer Networking and Applications,C,期刊,计算机网络
9,WCMC,Wireless Communications & Mobile Computing,C,期刊,计算机网络
10,,Wireless Networks,C,期刊,计算机网络
1,TDSC,IEEE Transactions on Dependable and Secure Computing,A,期刊,网络与信息安全
2,TIFS,IEEE Transactions on Information Forensics and Security,A,期刊,网络与信息安全
3,,Journal of Cryptology,A,期刊,网络与信息安全
1,TISSEC,ACM Transactions on Information and System Security,B,期刊,网络与信息安全
2,,Computers & Security,B,期刊,网络与信息安全
3,,"Designs, Codes and Cryptography",B,期刊,网络与信息安全
4,JCS,Journal of Computer Security,B,期刊,网络与信息安全
1,CLSR,Computer Law and Security Review,C,期刊,网络与信息安全
2,,EURASIP Journal on Information Security,C,期刊,网络与信息安全
3,,IET Information Security,C,期刊,网络与信息安全
4,IMCS,Information Management & Computer Security,C,期刊,网络与信息安全
5,IJICS,International Journal of Information and Computer Security,C,期刊,网络与信息安全
6,IJISP,International Journal of Information Security and Privacy,C,期刊,网络与信息安全
7,JISA,Journal of Information Security and Application,C,期刊,网络与信息安全
8,SCN,Security and Communication Networks,C,期刊,网络与信息安全
1,TOPLAS,ACM Transactions on Programming Languages & Systems,A,期刊,软件工程/系统软件/程序设计语言
2,TOSEM,ACM Transactions on Software Engineering and Methodology,A,期刊,软件工程/系统软件/程序设计语言
3,TSE,IEEE Transactions on Software Engineering,A,期刊,软件工程/系统软件/程序设计语言
1,ASE,Automated Software Engineering,B,期刊,软件工程/系统软件/程序设计语言
2,ESE,Empirical Software Engineering,B,期刊,软件工程/系统软件/程序设计语言
3,TSC,IEEE Transactions on Service Computing,B,期刊,软件工程/系统软件/程序设计语言
4,IETS,IET Software,B,期刊,软件工程/系统软件/程序设计语言
5,IST,Information and Software Technology,B,期刊,软件工程/系统软件/程序设计语言
6,JFP,Journal of Functional Programming,B,期刊,软件工程/系统软件/程序设计语言
7,,Journal of Software: Evolution and Process,B,期刊,软件工程/系统软件/程序设计语言
8,JSS,Journal of Systems and Software,B,期刊,软件工程/系统软件/程序设计语言
9,RE,Requirements Engineering,B,期刊,软件工程/系统软件/程序设计语言
10,SCP,Science of Computer Programming,B,期刊,软件工程/系统软件/程序设计语言
11,SoSyM,Software and System Modeling,B,期刊,软件工程/系统软件/程序设计语言
12,STVR,"Software Testing, Verification and Reliability",B,期刊,软件工程/系统软件/程序设计语言
13,SPE,Software: Practice and Experience,B,期刊,软件工程/系统软件/程序设计语言
1,CL,"Computer Languages, Systems and Structures",C,期刊,软件工程/系统软件/程序设计语言
2,IJSEKE,International Journal on Software Engineering and Knowledge Engineering,C,期刊,软件工程/系统软件/程序设计语言
3,STTT,International Journal on Software Tools for Technology Transfer,C,期刊,软件工程/系统软件/程序设计语言
4,JLAP,Journal of Logic and Algebraic Programming,C,期刊,软件工程/系统软件/程序设计语言
5,JWE,Journal of Web Engineering,C,期刊,软件工程/系统软件/程序设计语言
6,SOCA,Service Oriented Computing and Applications,C,期刊,软件工程/系统软件/程序设计语言
7,SQJ,Software Quality Journal,C,期刊,软件工程/系统软件/程序设计语言
8,TPLP,Theory and Practice of Logic Programming,C,期刊,软件工程/系统软件/程序设计语言
1,TODS,ACM Transactions on Database Systems,A,期刊,数据库/数据挖掘/内容检索
2,TOIS,ACM Transactions on Information Systems,A,期刊,数据库/数据挖掘/内容检索
3,TKDE,IEEE Transactions on Knowledge and Data Engineering,A,期刊,数据库/数据挖掘/内容检索
4,VLDBJ,The VLDB Journal,A,期刊,数据库/数据挖掘/内容检索
1,TKDD,ACM Transactions on Knowledge Discovery from Data,B,期刊,数据库/数据挖掘/内容检索
2,TWEB,ACM Transactions on the Web,B,期刊,数据库/数据挖掘/内容检索
3,AEI,Advanced Engineering Informatics,B,期刊,数据库/数据挖掘/内容检索
4,DKE,Data and Knowledge Engineering,B,期刊,数据库/数据挖掘/内容检索
5,DMKD,Data Mining and Knowledge Discovery,B,期刊,数据库/数据挖掘/内容检索
6,EJIS,European Journal of Information Systems,B,期刊,数据库/数据挖掘/内容检索
7,,GeoInformatica,B,期刊,数据库/数据挖掘/内容检索
8,IPM,Information Processing and Management,B,期刊,数据库/数据挖掘/内容检索
9,,Information Sciences,B,期刊,数据库/数据挖掘/内容检索
10,IS,Information Systems,B,期刊,数据库/数据挖掘/内容检索
11,JASIST,Journal of the American Society for Information Science and Technology,B,期刊,数据库/数据挖掘/内容检索
12,JWS,Journal of Web Semantics,B,期刊,数据库/数据挖掘/内容检索
13,KAIS,Knowledge and Information Systems,B,期刊,数据库/数据挖掘/内容检索
1,DPD,Distributed and Parallel Databases,C,期刊,数据库/数据挖掘/内容检索
2,I&M,Information and Management,C,期刊,数据库/数据挖掘/内容检索
3,IPL,Information Processing Letters,C,期刊,数据库/数据挖掘/内容检索
4,IR,Information Retrieval Journal,C,期刊,数据库/数据挖掘/内容检索
5,IJCIS,International Journal of Cooperative Information Systems,C,期刊,数据库/数据挖掘/内容检索
6,IJGIS,International Journal of Geographical Information Science,C,期刊,数据库/数据挖掘/内容检索
7,IJIS,International Journal of Intelligent Systems,C,期刊,数据库/数据挖掘/内容检索
8,IJKM,International Journal of Knowledge Management,C,期刊,数据库/数据挖掘/内容检索
9,IJSWIS,International Journal on Semantic Web and Information Systems,C,期刊,数据库/数据挖掘/内容检索
10,JCIS,Journal of Computer Information Systems,C,期刊,数据库/数据挖掘/内容检索
11,JDM,Journal of Database Management,C,期刊,数据库/数据挖掘/内容检索
12,JGITM,Journal of Global Information Technology Management,C,期刊,数据库/数据挖掘/内容检索
13,JIIS,Journal of Intelligent Information Systems,C,期刊,数据库/数据挖掘/内容检索
14,JSIS,Journal of Strategic Information Systems,C,期刊,数据库/数据挖掘/内容检索
1,TIT,IEEE Transactions on Information Theory,A,期刊,计算机科学理论
2,IANDC,Information and Computation,A,期刊,计算机科学理论
3,SICOMP,SIAM Journal on Computing,A,期刊,计算机科学理论
1,TALG,ACM Transactions on Algorithms,B,期刊,计算机科学理论
2,TOCL,ACM Transactions on Computational Logic,B,期刊,计算机科学理论
3,TOMS,ACM Transactions on Mathematical Software,B,期刊,计算机科学理论
4,Algorithmica,Algorithmica,B,期刊,计算机科学理论
5,CC,Computational Complexity,B,期刊,计算机科学理论
6,FAC,Formal Aspects of Computing,B,期刊,计算机科学理论
7,FMSD,Formal Methods in System Design,B,期刊,计算机科学理论
8,INFORMS,INFORMS Journal on Computing,B,期刊,计算机科学理论
9,JCSS,Journal of Computer and System Sciences,B,期刊,计算机科学理论
10,JGO,Journal of Global Optimization,B,期刊,计算机科学理论
11,JSC,Journal of Symbolic Computation,B,期刊,计算机科学理论
12,MSCS,Mathematical Structures in Computer Science,B,期刊,计算机科学理论
13,TCS,Theoretical Computer Science,B,期刊,计算机科学理论
1,ACTA,Acta Informatica,C,期刊,计算机科学理论
2,APAL,Annals of Pure and Applied Logic,C,期刊,计算机科学理论
3,DAM,Discrete Applied Mathematics,C,期刊,计算机科学理论
4,FUIN,Fundamenta Informaticae,C,期刊,计算机科学理论
5,LISP,Higher-Order and Symbolic Computation,C,期刊,计算机科学理论
6,IPL,Information Processing Letters,C,期刊,计算机科学理论
7,JCOMPLEXITY,Journal of Complexity,C,期刊,计算机科学理论
8,LOGCOM,Journal of Logic and Computation,C,期刊,计算机科学理论
9,JSL,Journal of Symbolic Logic,C,期刊,计算机科学理论
10,LMCS,Logical Methods in Computer Science,C,期刊,计算机科学理论
11,SIDMA,SIAM Journal on Discrete Mathematics,C,期刊,计算机科学理论
12,,Theory of Computing Systems,C,期刊,计算机科学理论
1,TOG,ACM Transactions on Graphics,A,期刊,计算机图形学与多媒体
2,TIP,IEEE Transactions on Image Processing,A,期刊,计算机图形学与多媒体
3,TVCG,IEEE Transactions on Visualization and Computer Graphics,A,期刊,计算机图形学与多媒体
1,TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Application",B,期刊,计算机图形学与多媒体
2,CAGD,Computer Aided Geometric Design,B,期刊,计算机图形学与多媒体
3,CGF,Computer Graphics Forum,B,期刊,计算机图形学与多媒体
4,CAD,Computer-Aided Design,B,期刊,计算机图形学与多媒体
5,GM,Graphical Models,B,期刊,计算机图形学与多媒体
6,TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,B,期刊,计算机图形学与多媒体
7,TMM,IEEE Transactions on Multimedia,B,期刊,计算机图形学与多媒体
8,JASA,Journal of The Acoustical Society of America,B,期刊,计算机图形学与多媒体
9,SIIMS,SIAM Journal on Imaging Sciences,B,期刊,计算机图形学与多媒体
10,Speech Com,Speech Communication,B,期刊,计算机图形学与多媒体
1,CGTA,Computational Geometry: Theory and Applications,C,期刊,计算机图形学与多媒体
2,CAVW,Computer Animation and Virtual Worlds,C,期刊,计算机图形学与多媒体
3,C&G,Computers & Graphics,C,期刊,计算机图形学与多媒体
4,DCG,Discrete & Computational Geometry,C,期刊,计算机图形学与多媒体
5,SPL,IEEE Signal Processing Letters,C,期刊,计算机图形学与多媒体
6,IET-IPR,IET Image Processing,C,期刊,计算机图形学与多媒体
7,JVCIR,Journal of Visual Communication and Image Representation,C,期刊,计算机图形学与多媒体
8,MS,Multimedia Systems,C,期刊,计算机图形学与多媒体
9,MTA,Multimedia Tools and Applications,C,期刊,计算机图形学与多媒体
10,,Signal Processing,C,期刊,计算机图形学与多媒体
11,SPIC,Signal Processing: Image Communication,C,期刊,计算机图形学与多媒体
12,TVC,The Visual Computer,C,期刊,计算机图形学与多媒体
1,AI,Artificial Intelligence,A,期刊,人工智能
2,TPAMI,IEEE Trans on Pattern Analysis and Machine Intelligence,A,期刊,人工智能
3,IJCV,International Journal of Computer Vision,A,期刊,人工智能
4,JMLR,Journal of Machine Learning Research,A,期刊,人工智能
1,TAP,ACM Transactions on Applied Perception,B,期刊,人工智能
2,TSLP,ACM Transactions on Speech and Language Processing,B,期刊,人工智能
3,AAMAS,Autonomous Agents and Multi-Agent Systems,B,期刊,人工智能
4,,Computational Linguistics,B,期刊,人工智能
5,CVIU,Computer Vision and Image Understanding,B,期刊,人工智能
6,DKE,Data and Knowledge Engineering,B,期刊,人工智能
7,,Evolutionary Computation,B,期刊,人工智能
8,TAC,IEEE Transactions on Affective Computing,B,期刊,人工智能
9,TASLP,"IEEE Transactions on Audio, Speech, and Language Processing",B,期刊,人工智能
10,,IEEE Transactions on Cybernetics,B,期刊,人工智能
11,TEC,IEEE Transactions on Evolutionary Computation,B,期刊,人工智能
12,TFS,IEEE Transactions on Fuzzy Systems,B,期刊,人工智能
13,TNNLS,IEEE Transactions on Neural Networks and learning systems,B,期刊,人工智能
14,IJAR,International Journal of Approximate Reasoning,B,期刊,人工智能
15,JAIR,Journal of Artificial Intelligence Research,B,期刊,人工智能
16,,Journal of Automated Reasoning,B,期刊,人工智能
17,JSLHR,"Journal of Speech, Language, and Hearing Research",B,期刊,人工智能
18,,Machine Learning,B,期刊,人工智能
19,,Neural Computation,B,期刊,人工智能
20,,Neural Networks,B,期刊,人工智能
21,PR,Pattern Recognition,B,期刊,人工智能
1,TALIP,ACM Transactions on Asian Language Information Processing,C,期刊,人工智能
2,,Applied Intelligence,C,期刊,人工智能
3,AIM,Artificial Intelligence in Medicine,C,期刊,人工智能
4,,Artificial Life,C,期刊,人工智能
5,,Computational Intelligence,C,期刊,人工智能
6,,Computer Speech and Language,C,期刊,人工智能
7,,Connection Science,C,期刊,人工智能
8,DSS,Decision Support Systems,C,期刊,人工智能
9,EAAI,Engineering Applications of Artificial Intelligence,C,期刊,人工智能
10,,Expert Systems,C,期刊,人工智能
11,ESWA,Expert Systems with Applications,C,期刊,人工智能
12,,Fuzzy Sets and Systems,C,期刊,人工智能
13,TG,IEEE Transactions on Games,C,期刊,人工智能
14,IET-CVI,IET Computer Vision,C,期刊,人工智能
15,,IET Signal Processing,C,期刊,人工智能
16,IVC,Image and Vision Computing,C,期刊,人工智能
17,IDA,Intelligent Data Analysis,C,期刊,人工智能
18,IJCIA,International Journal of Computational Intelligence and Applications,C,期刊,人工智能
19,IJIS,International Journal of Intelligent Systems,C,期刊,人工智能
20,IJNS,International Journal of Neural Systems,C,期刊,人工智能
21,IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,C,期刊,人工智能
22,IJUFKS,"International Journal of Uncertainty, Fuzziness and Knowledge-Based System",C,期刊,人工智能
23,IJDAR,International Journal on Document Analysis and Recognition,C,期刊,人工智能
24,JETAI,Journal of Experimental and Theoretical Artificial Intelligence,C,期刊,人工智能
25,KBS,Knowledge-Based Systems,C,期刊,人工智能
26,,Machine Translation,C,期刊,人工智能
27,,Machine Vision and Applications,C,期刊,人工智能
28,,Natural Computing,C,期刊,人工智能
29,NLE,Natural Language Engineering,C,期刊,人工智能
30,NCA,Neural Computing & Applications,C,期刊,人工智能
31,NPL,Neural Processing Letters,C,期刊,人工智能
32,,Neurocomputing,C,期刊,人工智能
33,PAA,Pattern Analysis and Applications,C,期刊,人工智能
34,PRL,Pattern Recognition Letters,C,期刊,人工智能
35,,Soft Computing,C,期刊,人工智能
36,WI,Web Intelligence,C,期刊,人工智能
1,TOCHI,ACM Transactions on Computer-Human Interaction,A,期刊,人机交互与普适计算
2,IJHCS,International Journal of Human Computer Studies,A,期刊,人机交互与普适计算
1,CSCW,Computer Supported Cooperative Work,B,期刊,人机交互与普适计算
2,HCI,Human Computer Interaction,B,期刊,人机交互与普适计算
3,,IEEE Transactions on Human-Machine Systems,B,期刊,人机交互与普适计算
4,IWC,Interacting with Computers,B,期刊,人机交互与普适计算
5,IJHCI,International Journal of Human-Computer Interaction,B,期刊,人机交互与普适计算
6,UMUAI,User Modeling and User-Adapted Interaction,B,期刊,人机交互与普适计算
1,BIT,Behaviour & Information Technology,C,期刊,人机交互与普适计算
2,PUC,Personal and Ubiquitous Computing,C,期刊,人机交互与普适计算
3,PMC,Pervasive and Mobile Computing,C,期刊,人机交互与普适计算
1,JACM,Journal of the ACM,A,期刊,交叉/综合/新兴
2,Proc. IEEE,Proceedings of the IEEE,A,期刊,交叉/综合/新兴
1,,Bioinformatics,B,期刊,交叉/综合/新兴
2,,Briefings in Bioinformatics,B,期刊,交叉/综合/新兴
3,Cognition,Cognition：International Journal of Cognitive Science,B,期刊,交叉/综合/新兴
4,TASAE,IEEE Transactions on Automation Science and Engineering,B,期刊,交叉/综合/新兴
5,TGARS,IEEE Transactions on Geoscience and Remote Sensing,B,期刊,交叉/综合/新兴
6,TITS,IEEE Transactions on Intelligent Transportation Systems,B,期刊,交叉/综合/新兴
7,TMI,IEEE Transactions on Medical Imaging,B,期刊,交叉/综合/新兴
8,TR,IEEE Transactions on Robotics,B,期刊,交叉/综合/新兴
9,TCBB,IEEE-ACM Transactions on Computational Biology and Bioinformatics,B,期刊,交叉/综合/新兴
10,JCST,Journal of Computer Science and Technology,B,期刊,交叉/综合/新兴
11,JAMIA,Journal of the American Medical Informatics Association,B,期刊,交叉/综合/新兴
12,,PLOS Computational Biology,B,期刊,交叉/综合/新兴
13,,Science China Information Sciences,B,期刊,交叉/综合/新兴
14,,The Computer Journal,B,期刊,交叉/综合/新兴
15,,World Wide Web Journal,B,期刊,交叉/综合/新兴
1,,BMC Bioinformatics,C,期刊,交叉/综合/新兴
2,,Cybernetics and Systems,C,期刊,交叉/综合/新兴
3,FCS,Frontiers of Computer Science,C,期刊,交叉/综合/新兴
4,,IEEE Geoscience and Remote Sensing Letters,C,期刊,交叉/综合/新兴
5,JBHI,IEEE Journal of Biomedical and Health Informatics,C,期刊,交叉/综合/新兴
6,TBD,IEEE Transactions on Big Data,C,期刊,交叉/综合/新兴
7,,IET Intelligent Transport Systems,C,期刊,交叉/综合/新兴
8,JBI,Journal of Biomedical Informatics,C,期刊,交叉/综合/新兴
9,,Medical Image Analysis,C,期刊,交叉/综合/新兴